Date,Open,High,Low,Close,Adj Close,Volume
12-02-2008,226.25,231.25,215,216.162506,160.982346,5161328
13-02-2008,218.75,224.25,212.824997,217.237503,161.782867,2185376
14-02-2008,221.25,225,215.25,218.449997,162.685852,2246480
15-02-2008,215,221.762497,215,218.175003,162.481094,2213044
18-02-2008,218.175003,218.75,212.5,213.300003,158.850494,1723160
19-02-2008,214,221,213.75,218.862503,162.993118,1947288
20-02-2008,219.975006,223.662506,218.3125,221.524994,164.975937,3060624
21-02-2008,224.5,232.75,220.5,228.662506,170.291443,3562052
22-02-2008,230,230.225006,221.25,225.137497,167.666275,2401516
25-02-2008,232,232.25,222.5625,225.1875,167.703461,3255460
26-02-2008,231,231,223.75,224.600006,167.265991,4999584
27-02-2008,227,228.712494,218.512497,219.387497,163.384079,2364056
28-02-2008,221.25,222.5,218,220.225006,164.007767,5579004
29-02-2008,220,222.925003,215.875,219.350006,163.356094,3416480
03-03-2008,216.5,217.175003,210,212.149994,157.994095,3141328
04-03-2008,214.5,217.5,211.774994,214.699997,159.893097,3010532
05-03-2008,211.25,220.699997,211.25,218.824997,162.965164,2209348
07-03-2008,215.649994,216.524994,210.5625,211.537506,157.537949,1996828
10-03-2008,211.537506,213.5,207.5,208.412506,155.210678,2494168
11-03-2008,210,210,205,205.875,153.320923,4043520
12-03-2008,209.75,212.5,202.5625,205.887497,153.330276,1884412
13-03-2008,203.75,203.75,190.25,194.925003,145.166138,3408600
14-03-2008,195,203.225006,187.5,200.962494,149.662399,2216056
17-03-2008,193.75,199.425003,192.1875,197.962494,147.428268,1958904
18-03-2008,197.5,207.199997,192.5,204.425003,152.241074,3596080
19-03-2008,207,210,201.387497,202.862503,151.077454,4361924
24-03-2008,202.862503,209.375,202.862503,205.925003,153.358124,3301984
25-03-2008,210,224.962494,208.75,219.125,163.188629,2928896
26-03-2008,235,235,212.887497,219.587494,163.533005,2171768
27-03-2008,218,219,210.274994,213.125,158.720215,6151152
28-03-2008,213.25,218.675003,213,217.762497,162.173889,3633696
31-03-2008,217.762497,217.762497,199.25,202.612503,150.891235,4051860
01-04-2008,205,213.225006,202.5,208.087494,154.968597,2086728
02-04-2008,212.5,217.25,212.3125,212.8125,158.487473,1428844
03-04-2008,212.5,223,212.5,221.350006,164.845642,3287172
04-04-2008,221.5,222.475006,215.012497,218.225006,162.518326,2020844
07-04-2008,223.75,230.024994,219.550003,226.024994,168.327194,3659528
08-04-2008,226.25,226.75,218.75,221.837494,165.208664,4055352
09-04-2008,220,223,217.25,219.0625,163.142059,1482600
10-04-2008,220,229.912506,219.25,224.887497,167.480057,2925932
11-04-2008,225.762497,231.25,223.3125,227,169.053391,2189264
15-04-2008,230.5,246.25,220.100006,243.537506,181.369217,5703772
16-04-2008,246.25,250.5,240.5,242.975006,180.950394,6438768
17-04-2008,249.925003,252.5,244.887497,250.225006,186.349655,3999556
21-04-2008,252.25,258.75,246.649994,248.350006,184.953247,3399296
22-04-2008,246.237503,246.237503,220.5,221.800003,165.18074,13785196
23-04-2008,221.75,226.425003,220.012497,222.287506,165.543777,6326156
24-04-2008,226,226.225006,216,222.6875,165.841721,15290096
25-04-2008,228,228,221.25,222.324997,165.571732,6828568
28-04-2008,202.25,224,180,220.425003,164.156738,6598136
29-04-2008,220.512497,232.5,217.537506,227.637497,169.528091,16209848
30-04-2008,229.024994,233.9375,226.625,230.25,171.473648,9487980
02-05-2008,231.25,240.5,231,235.9375,175.709335,5298780
05-05-2008,236.25,237.375,230.287506,231.862503,172.67453,3613764
06-05-2008,227.5,237.5,218.149994,234.262497,174.461914,3982796
07-05-2008,237.5,244.975006,237.5,241.6875,179.991516,12585540
08-05-2008,241.225006,241.25,229.5,236.75,176.314423,10845832
09-05-2008,239.75,239.75,227.5,229.25,170.728943,4492296
12-05-2008,229.25,233.712494,227.574997,231.725006,172.572174,3898508
13-05-2008,232.5,235.350006,222.25,226.262497,168.504089,4462876
14-05-2008,226.25,244.737503,222.787506,242.787506,180.81076,9373188
15-05-2008,243.25,250.5,240.024994,246.1875,183.342804,7177896
16-05-2008,248.5,248.5,242.125,245.262497,182.6539,3838648
20-05-2008,243.75,247.5,236.8125,239.024994,178.008621,4946904
21-05-2008,232,242,228.75,241.274994,179.684326,3140184
22-05-2008,239.125,246.375,237.75,240.287506,178.948898,5445200
23-05-2008,243.725006,244.925003,231.524994,233.100006,173.596161,5401384
26-05-2008,230,240.725006,229,238.862503,177.887695,5457272
27-05-2008,245,248.5,236.5,242.225006,180.39183,5682072
28-05-2008,242.524994,253.8125,242.524994,252.362503,187.941467,5469588
29-05-2008,252.25,257.087494,246,248.662506,185.186035,8258940
30-05-2008,247.75,262.25,244.5,259.787506,193.47113,15485284
02-06-2008,253.75,264.350006,241.25,245.962494,183.175201,7054764
03-06-2008,240,247.5,234.537506,243.787506,181.555466,4900256
04-06-2008,247.449997,247.449997,236.587494,239.1875,178.129715,3787856
05-06-2008,241.024994,249.199997,241,245.462494,182.802902,5905256
06-06-2008,247.5,249.662506,239.449997,241.550003,179.88916,4137784
09-06-2008,225.5625,241.225006,222.5,228.524994,170.189026,6140140
10-06-2008,227.5,229.75,216.75,219.75,163.654022,6155372
11-06-2008,222.5,227.5,220,222.587494,165.767197,4113368
12-06-2008,223.5,225.600006,214.25,222.0625,165.376175,2464004
13-06-2008,220,230.475006,220,227.399994,169.351151,6732432
16-06-2008,229.75,232,225.8125,227.699997,169.574677,6541784
17-06-2008,226.25,231.75,226.25,230.324997,171.529465,3504824
18-06-2008,230.199997,230.25,222.75,225.225006,168.646698,6431336
19-06-2008,220.0625,224.5,220,222,166.231873,3289068
20-06-2008,224.975006,224.975006,210.387497,215.962494,161.711044,8157760
23-06-2008,215.962494,219.862503,210.75,214.612503,160.700119,3572312
24-06-2008,212.5,216.925003,205.850006,211.100006,158.069977,9287176
25-06-2008,210,221.25,207.824997,219.199997,164.135178,5914196
26-06-2008,221,224.5,215.100006,220.337494,164.986969,7028316
27-06-2008,220.337494,220.337494,212.787506,216.375,162.019867,6260948
30-06-2008,217.75,219.5,212.5,214.550003,160.653336,3258044
01-07-2008,216.25,218,208.762497,211.925003,158.687714,5059616
02-07-2008,212.5,222,210,219.125,164.079086,8141112
03-07-2008,220.25,220.25,205.137497,214.162506,160.36319,4172528
04-07-2008,217.475006,217.512497,208.875,211.125,158.088699,3939584
07-07-2008,211.25,216,208,213.0625,159.539505,1794132
08-07-2008,207.537506,211.25,204.5,207.550003,155.411743,3947624
09-07-2008,212.5,222.487503,212.5,219.1875,164.125793,3578548
10-07-2008,217.5,222.25,213.087494,217.100006,162.562729,3504368
11-07-2008,229.25,235.75,196.350006,199.649994,149.496353,5523784
14-07-2008,200,200,190.25,191.962494,143.740021,4559896
15-07-2008,191.962494,196.612503,184.287506,187.662506,140.520233,4509844
16-07-2008,188.662506,193.412506,178.975006,182.024994,136.298828,5739900
17-07-2008,183.75,196.725006,182.512497,195.8125,146.622864,10350716
18-07-2008,195,200.5,187.25,198.462494,148.607162,8339496
21-07-2008,199.75,203.75,195.75,203.199997,152.154495,3582068
22-07-2008,204,210.987503,201.512497,207.962494,155.720688,4241164
23-07-2008,207.5,217.5,204.725006,215.137497,161.093277,5971420
24-07-2008,218.625,218.625,198.087494,200.637497,150.235794,11742336
25-07-2008,199.800003,212.375,195.5,199.800003,149.608688,8842536
28-07-2008,200,204.237503,196.25,201.5625,150.928421,1969372
29-07-2008,201.675003,203.449997,198,202.237503,151.433823,2472192
30-07-2008,211.5,211.5,200,209.737503,157.049789,4420076
31-07-2008,210,210.5,205.375,208.4375,156.636505,5195580
01-08-2008,206.25,214.237503,202.8125,210.162506,157.932816,4011724
04-08-2008,203.75,210,202.75,203.837494,153.179703,5238928
05-08-2008,203.850006,208.75,201.3125,207.425003,155.87561,4768200
06-08-2008,209.975006,217.487503,209.100006,215.137497,161.671402,5009932
07-08-2008,214.75,217.475006,211.25,213.337494,160.31868,3072320
08-08-2008,211.237503,214.25,208.350006,211.274994,158.768768,2086672
11-08-2008,213,214.449997,206.125,208.487503,156.674011,3405100
12-08-2008,208.75,210.925003,203.75,204.8125,153.912399,3323504
13-08-2008,200,209.425003,200,207.074997,155.61261,3697968
14-08-2008,207.25,211.162506,202.75,208.300003,156.533127,3741508
18-08-2008,210,213.100006,208.75,210.387497,158.101852,1956648
19-08-2008,211.125,212.75,208.774994,210.3125,158.045517,1953300
20-08-2008,210.675003,212.25,208.75,210.399994,158.111206,1127256
21-08-2008,209,210.5,203.800003,204.462494,153.649323,1976516
22-08-2008,204.75,206.1875,200.875,204.75,153.865356,2645284
25-08-2008,206,208.75,204,204.550003,153.715088,942244
26-08-2008,202.487503,209.237503,202.487503,208.512497,156.692856,2205004
27-08-2008,205.024994,209,203.274994,204.612503,153.762039,2131788
28-08-2008,205,206.0625,195.662506,198.087494,148.858673,6580688
29-08-2008,200,204.987503,200,203.050003,152.587891,1998500
01-09-2008,203.75,205,201.75,203.737503,153.104477,1527432
02-09-2008,203.737503,213.25,203.737503,212.199997,159.463959,2647848
04-09-2008,211.25,213.699997,208.087494,211.050003,158.599731,2461676
05-09-2008,212.5,212.5,206.25,209.600006,157.510132,2445368
08-09-2008,215,218.600006,210.5,214.175003,160.948059,5170432
09-09-2008,213.75,217.925003,210,216.199997,162.469788,2815328
10-09-2008,215.287506,217.550003,212.024994,212.725006,159.858414,3063456
11-09-2008,212.725006,217,207.25,209.175003,157.190689,1908976
12-09-2008,216.25,216.25,200.237503,202.637497,152.277908,3573964
15-09-2008,195,199.75,186.25,190.149994,142.893799,8550948
